topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption,image_credit,image_source
1,The Enlightenment,Reason changed the world forever.,"Create a 30-second history short about The Enlightenment. Hook: An intellectual movement that reshaped politics and science. Cover: Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. Enlightenment thinkers placed reason above superstition in politics, science, and daily life. Enlightenment ideals inspired revolutions in America, France, and beyond. Enlightenment philosophers championed free speech, religious tolerance, and individual rights. The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy.","Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. | The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. | Enlightenment thinkers placed reason above superstition in politics, science, and daily life. | Enlightenment ideals inspired revolutions in America, France, and beyond. | Enlightenment philosophers championed free speech, religious tolerance, and individual rights. | The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. | Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. | Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy. | The Age of Enlightenment was a period of intellectual and cultural flourishing in Europe and Western civilization. | Contemporary reports still describe The Enlightenment. | Later histories kept returning to The Enlightenment. | Surviving photographs still illustrate The Enlightenment.",/images/catalog/001-the-enlightenment.jpg,#HistoryTok #Enlightenment #Philosophy #DidYouKnow,The Age of Reason changed everything. Voltaire. Locke. Rousseau. They didn't just think — they rewrote the rules. #HistoryTok #Enlightenment #Philosophy #DidYouKnow,Raphael · Public domain,https://commons.wikimedia.org/wiki/File:The_School_of_Athens_by_Raphael.jpg
2,American Revolution,1776: 13 colonies said NO to a king.,Create a 30-second history short about the American Revolution. Cover: Boston Tea Party — 342 chests dumped — a key part of the story of American Revolution. Declaration signed July 4 1776 — a key part of the story of American Revolution. Valley Forge nearly broke the army — a key part of the story of American Revolution. France's alliance turned the tide — a key part of the story of American Revolution. America was born 1783 — a key part of the story of American Revolution. Taxation without representation became the colonists' rallying cry against British rule. The war lasted from 1775 to 1783 and forged a new republic built on Enlightenment ideals. The Treaty of Paris in 1783 formally recognized American independence from Britain.,"Boston Tea Party — 342 chests dumped. | Declaration signed July 4, 1776. | Valley Forge nearly broke the army. | France's alliance turned the tide. | America was born 1783. | Taxation without representation became the colonists' rallying cry against British rule. | The war lasted from 1775 to 1783 and forged a new republic built on Enlightenment ideals. | The Treaty of Paris in 1783 formally recognized American independence from Britain. | The Constitution took effect in 1789 and the Bill of Rights was ratified in 1791. | The American Revolution was a political movement in the Thirteen Colonies of Great Britain. | American Revolution is usually dated to 1776. | Another date tied to American Revolution is 1783.",/images/catalog/002-american-revolution.jpg,#AmericanRevolution #USHistory #HistoryFacts #4thOfJuly,13 colonies. One rebellion. A new republic. The American Revolution changed the world. #AmericanRevolution #USHistory #HistoryFacts #4thOfJuly,John Trumbull · Public domain,https://commons.wikimedia.org/wiki/File:Declaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg
3,French Revolution,They stormed a prison and changed EVERYTHING.,"Create a 30-second history short about the French Revolution. Cover: Bastille — July 14 1789 — a key part of the story of French Revolution. King Louis XVI guillotined — a key part of the story of French Revolution. Reign of Terror — a key part of the story of French Revolution. Women marched on Versailles — a key part of the story of French Revolution. Liberté Egalité Fraternité — a key part of the story of French Revolution. The revolution began when commoners stormed the Bastille prison on July 14, 1789. King Louis XVI was executed by guillotine in 1793, ending over a thousand years of French monarchy. The Reign of Terror saw thousands executed before Napoleon eventually seized power.","Bastille — July 14, 1789. | King Louis XVI was guillotined. | Women marched on Versailles. | The revolution began when commoners stormed the Bastille prison on July 14, 1789. | King Louis XVI was executed by guillotine in 1793, ending over a thousand years of French monarchy. | The Reign of Terror saw thousands executed before Napoleon eventually seized power. | Many of the revolution's ideas are considered fundamental principles of liberal democracy. | The next three years were dominated by a struggle for political control. | It was caused by a combination of social, political, and economic factors which the existing regime proved unable to manage. | French Revolution is usually dated to 1789. | Contemporary reports still describe French Revolution. | Later histories kept returning to French Revolution.",/images/catalog/003-french-revolution.jpg,#FrenchRevolution #HistoryTok #BastilleDay #WorldHistory,They stormed the Bastille. The king lost his head. France was never the same. #FrenchRevolution #HistoryTok #BastilleDay #WorldHistory,Jean-Pierre Houël · Public domain,https://commons.wikimedia.org/wiki/File:Prise_de_la_Bastille.jpg
4,Napoleon's Rise and Fall,5 foot 6 man conquered EUROPE.,"Create a 30-second history short about Napoleon. Cover: Austerlitz and Jena — unstoppable — a key part of the story of Napoleon's Rise and Fall. Napoleonic Code still shapes law — a key part of the story of Napoleon's Rise and Fall. Moscow 1812 — army froze — a key part of the story of Napoleon's Rise and Fall. Escaped Elba — a key part of the story of Napoleon's Rise and Fall. Waterloo ended it all — a key part of the story of Napoleon's Rise and Fall. Napoleon crowned himself Emperor of France in 1804, crowning a meteoric rise from artillery officer. His Napoleonic Code still influences legal systems across Europe and Latin America today. Defeated at Waterloo in 1815, he was exiled to Saint Helena where he died in 1821.","Austerlitz and Jena — unstoppable. | Napoleonic Code still shapes law. | Moscow 1812 — army froze. | Napoleon crowned himself Emperor of France in 1804, crowning a meteoric rise from artillery officer. | His Napoleonic Code still influences legal systems across Europe and Latin America today. | Defeated at Waterloo in 1815, he was exiled to Saint Helena where he died in 1821. | Napoleon returned while the Congress of Vienna was sitting. | The phrase les Cent Jours was first used by the prefect of Paris, Gaspard, count of Chabrol, in his speech welcoming the king back to Paris on 8 July. | Napoleon's Rise and Fall is usually dated to 1812. | Contemporary reports still describe Napoleon's Rise and Fall. | Later histories kept returning to Napoleon's Rise and Fall. | Surviving photographs still illustrate Napoleon's Rise and Fall.",/images/catalog/004-napoleon-s-rise-and-fall.jpg,#Napoleon #MilitaryHistory #Waterloo #HistoryTok,One man. One empire. One legendary fall. Napoleon changed Europe forever. #Napoleon #MilitaryHistory #Waterloo #HistoryTok,Ruedi33a · CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:The_battles_of_Napoleon%27s_hundred_days.jpg
5,Haitian Revolution,Enslaved people defeated an EMPIRE.,"Create a 30-second history short about the Haitian Revolution. Cover: Only successful slave revolt in history — a key part of the story of Haitian Revolution. Toussaint Louverture led the fight — a key part of the story of Haitian Revolution. Independence Jan 1 1804 — a key part of the story of Haitian Revolution. First Black republic — a key part of the story of Haitian Revolution. Terrified the world — a key part of the story of Haitian Revolution. Toussaint Louverture led enslaved people in a revolt that defeated French, British, and Spanish forces. Haiti declared independence on January 1, 1804, becoming the first Black republic in the world. France later demanded crippling reparations that kept Haiti in debt for generations.","Only successful slave revolt in history. | Toussaint Louverture led the fight. | Independence Jan 1 1804. | Toussaint Louverture led enslaved people in a revolt that defeated French, British, and Spanish forces. | Haiti declared independence on January 1, 1804, becoming the first Black republic in the world. | France later demanded crippling reparations that kept Haiti in debt for generations. | The Haitian Revolution was a successful insurrection by enslaved Africans against French colonial rule in Saint-Domingue, now the sovereign state of Haiti. | Haitian Revolution is usually dated to 1804. | Contemporary reports still describe Haitian Revolution. | Later histories kept returning to Haitian Revolution. | Surviving photographs still illustrate Haitian Revolution. | Standard world-history surveys still include Haitian Revolution.",/images/catalog/005-haitian-revolution.jpg,#HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok,They beat an empire. The revolution history tried to erase. #HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok,January Suchodolski · Public domain,https://commons.wikimedia.org/wiki/File:Battle_for_Palm_Tree_Hill.jpg
6,Industrial Revolution,Steam power changed EVERYTHING in 50 years.,"Create a 30-second history short about the Industrial Revolution. Cover: Watt's steam engine 1769 — a key part of the story of Industrial Revolution. Cities exploded overnight — a key part of the story of Industrial Revolution. Child labor was the norm — a key part of the story of Industrial Revolution. Luddites smashed machines — a key part of the story of Industrial Revolution. Railroads changed travel forever — a key part of the story of Industrial Revolution. The Industrial Revolution began in Britain around 1760 and spread across Europe and North America. Factory work drew millions from farms into crowded cities, transforming society forever. Mechanization created vast wealth but also deep inequality and harsh working conditions.","Watt's steam engine 1769. | Child labor was the norm. | Railroads changed travel forever. | The Industrial Revolution began in Britain around 1760 and spread across Europe and North America. | Factory work drew millions from farms into crowded cities, transforming society forever. | Mechanization created vast wealth but also deep inequality and harsh working conditions. | Beginning in Great Britain around 1760, the Industrial Revolution had spread to continental Europe and the United States by about 1840. | Output greatly increased, and the result was an unprecedented rise in population and population growth. | Many technological and architectural innovations were British. | By the mid-18th century, Britain was the leading commercial nation, with GDP per capita considerably over the world average. | This transition included going from hand production methods to machines. | Industrial Revolution is usually dated to 1769.",/images/catalog/006-industrial-revolution.jpg,#IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory,Factories. Steam. Cities overnight. The world was rebuilt in one generation. #IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory,Roantrum · CC BY 2.0,https://commons.wikimedia.org/wiki/File:Ironbridge_6.jpg
7,Lewis and Clark Expedition,8000 miles. No GPS. No roads.,"Create a 30-second history short about Lewis and Clark. Cover: St Louis to Pacific and back — a key part of the story of Lewis and Clark Expedition. Sacagawea saved the expedition — a key part of the story of Lewis and Clark Expedition. 300+ species documented — a key part of the story of Lewis and Clark Expedition. 50+ Native nations met — a key part of the story of Lewis and Clark Expedition. Only 1 death — a key part of the story of Lewis and Clark Expedition. President Thomas Jefferson commissioned the expedition to explore the newly acquired Louisiana Territory. The Corps of Discovery traveled roughly 8,000 miles from St. Louis to the Pacific and back. Their maps and journals opened the American West to settlement and trade.","St Louis to Pacific and back. | Sacagawea saved the expedition. | 300+ species documented. | 50+ Native nations met. | President Thomas Jefferson commissioned the expedition to explore the newly acquired Louisiana Territory. | The Corps of Discovery traveled roughly 8,000 miles from St. Louis to the Pacific and back. | Their maps and journals opened the American West to settlement and trade. | The Lewis and Clark Expedition was the United States expedition to cross the newly acquired western portion of the country after the Louisiana Purchase. | Contemporary reports still describe Lewis and Clark Expedition. | Later histories kept returning to Lewis and Clark Expedition. | Surviving photographs still illustrate Lewis and Clark Expedition. | Standard world-history surveys still include Lewis and Clark Expedition.",/images/catalog/007-lewis-and-clark-expedition.jpg,#LewisAndClark #AmericanHistory #Exploration #HistoryTok,8000 miles. No GPS. One legendary expedition. #LewisAndClark #AmericanHistory #Exploration #HistoryTok,Wikimedia Commons · Public domain,https://commons.wikimedia.org/wiki/File:Lewis_and_Clark.jpg
8,Abolitionist Movement,Am I not a man and a brother?,"Create a 30-second history short about the abolitionist movement. Cover: Britain banned slave trade 1807 — a key part of the story of Abolitionist Movement. Frederick Douglass — legend — a key part of the story of Abolitionist Movement. Harriet Tubman — 70+ to freedom — a key part of the story of Abolitionist Movement. Emancipation Proclamation 1863 — a key part of the story of Abolitionist Movement. Freedom was fought for daily — a key part of the story of Abolitionist Movement. Frederick Douglass escaped slavery and became one of America's greatest orators and writers. Harriet Tubman's Underground Railroad helped more than 70 enslaved people reach freedom. The movement combined moral persuasion, legal action, and direct resistance to end slavery.","Britain banned slave trade 1807. | Harriet Tubman — 70+ to freedom. | Emancipation Proclamation 1863. | Freedom was fought for daily. | Frederick Douglass escaped slavery and became one of America's greatest orators and writers. | Harriet Tubman's Underground Railroad helped more than 70 enslaved people reach freedom. | The movement combined moral persuasion, legal action, and direct resistance to end slavery. | The first country to fully outlaw slavery was France in 1315, though it was later used in its colonies. | The first country to abolish and punish slavery for indigenous people was Spain with the New Laws in 1542. | The first and only country to self-liberate from slavery was a former French colony, Haiti, as a result of the Revolution of 1791–1804. | The British abolitionist movement began in the late 18th century, and the 1772 Somersett case established that slavery did not exist in English law. | Abolitionism, or the abolitionist movement is the political movement to end slavery and liberate enslaved individuals around the world.",/images/catalog/008-abolitionist-movement.jpg,#Abolition #BlackHistory #FrederickDouglass #HistoryMatters,Freedom wasn't given. It was taken. The abolitionist fight. #Abolition #BlackHistory #FrederickDouglass #HistoryMatters,Unknown photographer · Public domain,https://commons.wikimedia.org/wiki/File:Slavezanzibar2.JPG
9,California Gold Rush,One discovery. 300000 people RAN west.,"Create a 30-second history short about the California Gold Rush. Cover: Sutter's Mill — Jan 1848 — a key part of the story of California Gold Rush. SF: 200 to 36000 people — a key part of the story of California Gold Rush. Most miners made NOTHING — a key part of the story of California Gold Rush. Merchants got rich — a key part of the story of California Gold Rush. Rivers destroyed — a key part of the story of California Gold Rush. James Marshall discovered gold at Sutter's Mill in January 1848, sparking a global rush. San Francisco grew from about 200 residents to 36,000 in just a few years. Most prospectors earned little while merchants and suppliers became the real winners.","Sutter's Mill — Jan 1848. | SF: 200 to 36000 people. | James Marshall discovered gold at Sutter's Mill in January 1848, sparking a global rush. | San Francisco grew from about 200 residents to 36,000 in just a few years. | Most prospectors earned little while merchants and suppliers became the real winners. | Outside of California, the first to arrive were from Oregon, Hawaii, and Latin America in late 1848. | The California gold rush was a gold rush in California. | The effects of the gold rush were substantial. | California Gold was an American soccer team which began playing under the Gold moniker in 2002. | California Gold Rush is usually dated to 1848. | Contemporary reports still describe California Gold Rush. | Later histories kept returning to California Gold Rush.",/images/catalog/009-california-gold-rush.jpg,#GoldRush #CaliforniaHistory #WildWest #HistoryTok,One discovery. 300000 people. A nation reshaped. #GoldRush #CaliforniaHistory #WildWest #HistoryTok,R. H. Vance · Public domain,https://commons.wikimedia.org/wiki/File:Sutters_Mill.jpg
10,Darwin and Evolution,One book destroyed how we see LIFE.,"Create a 30-second history short about Darwin and evolution. Cover: Origin of Species — 1859 — a key part of the story of Darwin and Evolution. Galapagos finches proved it — a key part of the story of Darwin and Evolution. 5 years on HMS Beagle — a key part of the story of Darwin and Evolution. Waited 20 years to publish — a key part of the story of Darwin and Evolution. Changed biology forever — a key part of the story of Darwin and Evolution. Darwin spent five years aboard HMS Beagle collecting specimens across South America and the Pacific. He waited over 20 years to publish, fearing backlash against his evolutionary theory. On the Origin of Species, published in 1859, became the foundation of modern biology.","Origin of Species — 1859. | Galapagos finches proved it. | 5 years on HMS Beagle. | Waited 20 years to publish. | Changed biology forever. | Darwin spent five years aboard HMS Beagle collecting specimens across South America and the Pacific. | He waited over 20 years to publish, fearing backlash against his evolutionary theory. | On the Origin of Species, published in 1859, became the is the foundation of modern biology. | Charles Robert Darwin was an English naturalist, geologist, and biologist, widely known for his contributions to evolutionary biology. | His proposition that all species of life have descended from a common ancestor is now generally accepted and considered a fundamental scientific concept. | Darwin has been described as one of the most influential figures in human history and was honoured by burial in Westminster Abbey. | Darwin and Evolution is usually dated to 1859.",/images/catalog/010-darwin-and-evolution.jpg,#CharlesDarwin #Evolution #ScienceHistory #DidYouKnow,One book. One theory. Life redefined. Darwin changed everything. #CharlesDarwin #Evolution #ScienceHistory #DidYouKnow,Charles_Darwin_seated.jpg : Henry Maull (1829–1914) and John Fox (1832–… · Public domain,https://commons.wikimedia.org/wiki/File:Charles_Darwin_seated_crop.jpg
11,American Civil War,Brother vs brother. 620000 DEAD.,"Create a 30-second history short about the American Civil War. Cover: 620000+ dead — a key part of the story of American Civil War. Antietam — deadliest day — a key part of the story of American Civil War. Gettysburg Address 1863 — a key part of the story of American Civil War. Emancipation Proclamation — a key part of the story of American Civil War. Lee surrendered 1865 — a key part of the story of American Civil War. The war began when Confederate forces fired on Fort Sumter in April 1861. An estimated 620,000 soldiers died, making it America's deadliest conflict at the time. The Union victory in 1865 ended slavery and preserved the United States as one nation.","Gettysburg Address 1863. | Lee surrendered 1865. | The war began when Confederate forces fired on Fort Sumter in April 1861. | An estimated 620,000 soldiers died, making it America's deadliest conflict at the time. | The Union victory in 1865 ended slavery and preserved the United States as one nation. | The American Civil War was a civil war in the United States between the Union and the Confederacy. | American Civil War is usually dated to 1863. | Another date tied to American Civil War is 1865. | Contemporary reports still describe American Civil War. | Later histories kept returning to American Civil War. | Surviving photographs still illustrate American Civil War. | Standard world-history surveys still include American Civil War.",/images/catalog/011-american-civil-war.jpg,#CivilWar #USHistory #AbrahamLincoln #HistoryTok,Brother vs brother. 620000 dead. A nation torn apart. #CivilWar #USHistory #AbrahamLincoln #HistoryTok,"Unknown author; Kurz & Allison, Art Publishers, Chicago, U.S.A. / Resto… · Public domain",https://commons.wikimedia.org/wiki/File:Battle_of_Antietam2.jpg
