video_filename,copy_caption,hashtags,description,episode_number,episode_code,path_inside_zip,video_zip_pack,artifact_zip,still_filename,title,year,handle,duration_sec,image_credit
001-the-enlightenment.mp4,"The Enlightenment. Reason changed the world forever. Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. @FactsOrWhacks #HistoryTok #Enlightenment #Philosophy #DidYouKnow #FactsOrWhacks",#HistoryTok #Enlightenment #Philosophy #DidYouKnow #FactsOrWhacks,"The Enlightenment. Reason changed the world forever. Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience.",1,001,facts-or-whacks-videos/001-the-enlightenment.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,001-the-enlightenment.webp,The Enlightenment,,@FactsOrWhacks,30,Raphael · Public domain
002-american-revolution.mp4,"American Revolution (1776). 1776: 13 colonies said NO to a king. Boston Tea Party — 342 chests dumped. Declaration signed July 4, 1776. @FactsOrWhacks #AmericanRevolution #USHistory #HistoryFacts #4thOfJuly #FactsOrWhacks",#AmericanRevolution #USHistory #HistoryFacts #4thOfJuly #FactsOrWhacks,"American Revolution (1776). 1776: 13 colonies said NO to a king. Boston Tea Party — 342 chests dumped. Declaration signed July 4, 1776.",2,002,facts-or-whacks-videos/002-american-revolution.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,002-american-revolution.webp,American Revolution,1776,@FactsOrWhacks,30,John Trumbull · Public domain
003-french-revolution.mp4,"French Revolution (1789). They stormed a prison and changed EVERYTHING. Bastille — July 14, 1789. King Louis XVI was guillotined. @FactsOrWhacks #FrenchRevolution #HistoryTok #BastilleDay #WorldHistory #FactsOrWhacks",#FrenchRevolution #HistoryTok #BastilleDay #WorldHistory #FactsOrWhacks,"French Revolution (1789). They stormed a prison and changed EVERYTHING. Bastille — July 14, 1789. King Louis XVI was guillotined.",3,003,facts-or-whacks-videos/003-french-revolution.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,003-french-revolution.webp,French Revolution,1789,@FactsOrWhacks,30,Jean-Pierre Houël · Public domain
004-napoleon-s-rise-and-fall.mp4,Napoleon's Rise and Fall (1812). 5 foot 6 man conquered EUROPE. Austerlitz and Jena — unstoppable. Napoleonic Code still shapes law. @FactsOrWhacks #Napoleon #MilitaryHistory #Waterloo #HistoryTok #FactsOrWhacks,#Napoleon #MilitaryHistory #Waterloo #HistoryTok #FactsOrWhacks,Napoleon's Rise and Fall (1812). 5 foot 6 man conquered EUROPE. Austerlitz and Jena — unstoppable. Napoleonic Code still shapes law.,4,004,facts-or-whacks-videos/004-napoleon-s-rise-and-fall.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,004-napoleon-s-rise-and-fall.webp,Napoleon's Rise and Fall,1812,@FactsOrWhacks,30,Ruedi33a · CC BY-SA 4.0
005-haitian-revolution.mp4,Haitian Revolution (1804). Enslaved people defeated an EMPIRE. Only successful slave revolt in history. Toussaint Louverture led the fight. @FactsOrWhacks #HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok #FactsOrWhacks,#HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok #FactsOrWhacks,Haitian Revolution (1804). Enslaved people defeated an EMPIRE. Only successful slave revolt in history. Toussaint Louverture led the fight.,5,005,facts-or-whacks-videos/005-haitian-revolution.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,005-haitian-revolution.webp,Haitian Revolution,1804,@FactsOrWhacks,30,January Suchodolski · Public domain
006-industrial-revolution.mp4,Industrial Revolution (1769). Steam power changed EVERYTHING in 50 years. Watt's steam engine 1769. Child labor was the norm. @FactsOrWhacks #IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory #FactsOrWhacks,#IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory #FactsOrWhacks,Industrial Revolution (1769). Steam power changed EVERYTHING in 50 years. Watt's steam engine 1769. Child labor was the norm.,6,006,facts-or-whacks-videos/006-industrial-revolution.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,006-industrial-revolution.webp,Industrial Revolution,1769,@FactsOrWhacks,30,Roantrum · CC BY 2.0
007-lewis-and-clark-expedition.mp4,Lewis and Clark Expedition (1806). 8000 miles. No GPS. No roads. St Louis to Pacific and back. Sacagawea saved the expedition. @FactsOrWhacks #LewisAndClark #AmericanHistory #Exploration #HistoryTok #FactsOrWhacks,#LewisAndClark #AmericanHistory #Exploration #HistoryTok #FactsOrWhacks,Lewis and Clark Expedition (1806). 8000 miles. No GPS. No roads. St Louis to Pacific and back. Sacagawea saved the expedition.,7,007,facts-or-whacks-videos/007-lewis-and-clark-expedition.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,007-lewis-and-clark-expedition.webp,Lewis and Clark Expedition,1806,@FactsOrWhacks,30,Wikimedia Commons · Public domain
008-abolitionist-movement.mp4,Abolitionist Movement (1772). Am I not a man and a brother? Britain banned slave trade 1807. Harriet Tubman — 70+ to freedom. @FactsOrWhacks #Abolition #BlackHistory #FrederickDouglass #HistoryMatters #FactsOrWhacks,#Abolition #BlackHistory #FrederickDouglass #HistoryMatters #FactsOrWhacks,Abolitionist Movement (1772). Am I not a man and a brother? Britain banned slave trade 1807. Harriet Tubman — 70+ to freedom.,8,008,facts-or-whacks-videos/008-abolitionist-movement.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,008-abolitionist-movement.webp,Abolitionist Movement,1772,@FactsOrWhacks,30,Unknown photographer · Public domain
009-california-gold-rush.mp4,California Gold Rush (1848). One discovery. 300000 people RAN west. Sutter's Mill — Jan 1848. SF: 200 to 36000 people. @FactsOrWhacks #GoldRush #CaliforniaHistory #WildWest #HistoryTok #FactsOrWhacks,#GoldRush #CaliforniaHistory #WildWest #HistoryTok #FactsOrWhacks,California Gold Rush (1848). One discovery. 300000 people RAN west. Sutter's Mill — Jan 1848. SF: 200 to 36000 people.,9,009,facts-or-whacks-videos/009-california-gold-rush.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,009-california-gold-rush.webp,California Gold Rush,1848,@FactsOrWhacks,30,R. H. Vance · Public domain
010-darwin-and-evolution.mp4,Darwin and Evolution (1859). One book destroyed how we see LIFE. Origin of Species — 1859. Galapagos finches proved it. @FactsOrWhacks #CharlesDarwin #Evolution #ScienceHistory #DidYouKnow #FactsOrWhacks,#CharlesDarwin #Evolution #ScienceHistory #DidYouKnow #FactsOrWhacks,Darwin and Evolution (1859). One book destroyed how we see LIFE. Origin of Species — 1859. Galapagos finches proved it.,10,010,facts-or-whacks-videos/010-darwin-and-evolution.mp4,facts-or-whacks-videos-001-050.zip,videos_30s_pack_001_050.zip,010-darwin-and-evolution.webp,Darwin and Evolution,1859,@FactsOrWhacks,30,Charles_Darwin_seated.jpg : Henry Maull (1829–1914) and John Fox (1832–… · Public domain
