topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption
1,The Enlightenment,Reason changed the world forever.,"Create a 30-second history short about The Enlightenment. Hook: An intellectual movement that reshaped politics and science. Cover: Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. Enlightenment thinkers placed reason above superstition in politics, science, and daily life. Enlightenment ideals inspired revolutions in America, France, and beyond. Enlightenment philosophers championed free speech, religious tolerance, and individual rights. The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy.","Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. | The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. | Enlightenment thinkers placed reason above superstition in politics, science, and daily life. | Enlightenment ideals inspired revolutions in America, France, and beyond. | Enlightenment philosophers championed free speech, religious tolerance, and individual rights. | The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. | Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. | Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/The_School_of_Athens_by_Raphael.jpg/2560px-The_School_of_Athens_by_Raphael.jpg,#HistoryTok #Enlightenment #Philosophy #DidYouKnow,The Age of Reason changed everything. Voltaire. Locke. Rousseau. They didn't just think — they rewrote the rules. #HistoryTok #Enlightenment #Philosophy #DidYouKnow
2,American Revolution,1776: 13 colonies said NO to a king.,Create a 30-second history short about the American Revolution. Cover: Boston Tea Party — 342 chests dumped — a key part of the story of American Revolution. Declaration signed July 4 1776 — a key part of the story of American Revolution. Valley Forge nearly broke the army — a key part of the story of American Revolution. France's alliance turned the tide — a key part of the story of American Revolution. America was born 1783 — a key part of the story of American Revolution. Taxation without representation became the colonists' rallying cry against British rule. The war lasted from 1775 to 1783 and forged a new republic built on Enlightenment ideals. The Treaty of Paris in 1783 formally recognized American independence from Britain.,Boston Tea Party — 342 chests dumped — a key part of the story of American Revolution. | Declaration signed July 4 1776 — a key part of the story of American Revolution. | Valley Forge nearly broke the army — a key part of the story of American Revolution. | France's alliance turned the tide — a key part of the story of American Revolution. | America was born 1783 — a key part of the story of American Revolution. | Taxation without representation became the colonists' rallying cry against British rule. | The war lasted from 1775 to 1783 and forged a new republic built on Enlightenment ideals. | The Treaty of Paris in 1783 formally recognized American independence from Britain.,https://upload.wikimedia.org/wikipedia/commons/9/95/Washington_crossing_the_Delaware_by_Emanuel_Leutze%2C_MMA-NYC%2C_1851.jpg,#AmericanRevolution #USHistory #HistoryFacts #4thOfJuly,13 colonies. One rebellion. A new republic. The American Revolution changed the world. #AmericanRevolution #USHistory #HistoryFacts #4thOfJuly
3,French Revolution,They stormed a prison and changed EVERYTHING.,"Create a 30-second history short about the French Revolution. Cover: Bastille — July 14 1789 — a key part of the story of French Revolution. King Louis XVI guillotined — a key part of the story of French Revolution. Reign of Terror — a key part of the story of French Revolution. Women marched on Versailles — a key part of the story of French Revolution. Liberté Egalité Fraternité — a key part of the story of French Revolution. The revolution began when commoners stormed the Bastille prison on July 14, 1789. King Louis XVI was executed by guillotine in 1793, ending over a thousand years of French monarchy. The Reign of Terror saw thousands executed before Napoleon eventually seized power.","Bastille — July 14 1789 — a key part of the story of French Revolution. | King Louis XVI guillotined — a key part of the story of French Revolution. | Reign of Terror — a key part of the story of French Revolution. | Women marched on Versailles — a key part of the story of French Revolution. | Liberté Egalité Fraternité — a key part of the story of French Revolution. | The revolution began when commoners stormed the Bastille prison on July 14, 1789. | King Louis XVI was executed by guillotine in 1793, ending over a thousand years of French monarchy. | The Reign of Terror saw thousands executed before Napoleon eventually seized power.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Prise_de_la_Bastille.jpg,#FrenchRevolution #HistoryTok #BastilleDay #WorldHistory,They stormed the Bastille. The king lost his head. France was never the same. #FrenchRevolution #HistoryTok #BastilleDay #WorldHistory
4,Napoleon's Rise and Fall,5 foot 6 man conquered EUROPE.,"Create a 30-second history short about Napoleon. Cover: Austerlitz and Jena — unstoppable — a key part of the story of Napoleon's Rise and Fall. Napoleonic Code still shapes law — a key part of the story of Napoleon's Rise and Fall. Moscow 1812 — army froze — a key part of the story of Napoleon's Rise and Fall. Escaped Elba — a key part of the story of Napoleon's Rise and Fall. Waterloo ended it all — a key part of the story of Napoleon's Rise and Fall. Napoleon crowned himself Emperor of France in 1804, crowning a meteoric rise from artillery officer. His Napoleonic Code still influences legal systems across Europe and Latin America today. Defeated at Waterloo in 1815, he was exiled to Saint Helena where he died in 1821.","Austerlitz and Jena — unstoppable — a key part of the story of Napoleon's Rise and Fall. | Napoleonic Code still shapes law — a key part of the story of Napoleon's Rise and Fall. | Moscow 1812 — army froze — a key part of the story of Napoleon's Rise and Fall. | Escaped Elba — a key part of the story of Napoleon's Rise and Fall. | Waterloo ended it all — a key part of the story of Napoleon's Rise and Fall. | Napoleon crowned himself Emperor of France in 1804, crowning a meteoric rise from artillery officer. | His Napoleonic Code still influences legal systems across Europe and Latin America today. | Defeated at Waterloo in 1815, he was exiled to Saint Helena where he died in 1821.",https://upload.wikimedia.org/wikipedia/commons/1/1e/Napoleon_Austerlitz.jpg,#Napoleon #MilitaryHistory #Waterloo #HistoryTok,One man. One empire. One legendary fall. Napoleon changed Europe forever. #Napoleon #MilitaryHistory #Waterloo #HistoryTok
5,Haitian Revolution,Enslaved people defeated an EMPIRE.,"Create a 30-second history short about the Haitian Revolution. Cover: Only successful slave revolt in history — a key part of the story of Haitian Revolution. Toussaint Louverture led the fight — a key part of the story of Haitian Revolution. Independence Jan 1 1804 — a key part of the story of Haitian Revolution. First Black republic — a key part of the story of Haitian Revolution. Terrified the world — a key part of the story of Haitian Revolution. Toussaint Louverture led enslaved people in a revolt that defeated French, British, and Spanish forces. Haiti declared independence on January 1, 1804, becoming the first Black republic in the world. France later demanded crippling reparations that kept Haiti in debt for generations.","Only successful slave revolt in history — a key part of the story of Haitian Revolution. | Toussaint Louverture led the fight — a key part of the story of Haitian Revolution. | Independence Jan 1 1804 — a key part of the story of Haitian Revolution. | First Black republic — a key part of the story of Haitian Revolution. | Terrified the world — a key part of the story of Haitian Revolution. | Toussaint Louverture led enslaved people in a revolt that defeated French, British, and Spanish forces. | Haiti declared independence on January 1, 1804, becoming the first Black republic in the world. | France later demanded crippling reparations that kept Haiti in debt for generations.",https://upload.wikimedia.org/wikipedia/commons/8/89/Battle_for_Palm_Tree_Hill.jpg,#HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok,They beat an empire. The revolution history tried to erase. #HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok
6,Industrial Revolution,Steam power changed EVERYTHING in 50 years.,"Create a 30-second history short about the Industrial Revolution. Cover: Watt's steam engine 1769 — a key part of the story of Industrial Revolution. Cities exploded overnight — a key part of the story of Industrial Revolution. Child labor was the norm — a key part of the story of Industrial Revolution. Luddites smashed machines — a key part of the story of Industrial Revolution. Railroads changed travel forever — a key part of the story of Industrial Revolution. The Industrial Revolution began in Britain around 1760 and spread across Europe and North America. Factory work drew millions from farms into crowded cities, transforming society forever. Mechanization created vast wealth but also deep inequality and harsh working conditions.","Watt's steam engine 1769 — a key part of the story of Industrial Revolution. | Cities exploded overnight — a key part of the story of Industrial Revolution. | Child labor was the norm — a key part of the story of Industrial Revolution. | Luddites smashed machines — a key part of the story of Industrial Revolution. | Railroads changed travel forever — a key part of the story of Industrial Revolution. | The Industrial Revolution began in Britain around 1760 and spread across Europe and North America. | Factory work drew millions from farms into crowded cities, transforming society forever. | Mechanization created vast wealth but also deep inequality and harsh working conditions.",https://upload.wikimedia.org/wikipedia/commons/4/4d/Ironbridge_6.jpg,#IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory,Factories. Steam. Cities overnight. The world was rebuilt in one generation. #IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory
7,Lewis and Clark Expedition,8000 miles. No GPS. No roads.,"Create a 30-second history short about Lewis and Clark. Cover: St Louis to Pacific and back — a key part of the story of Lewis and Clark Expedition. Sacagawea saved the expedition — a key part of the story of Lewis and Clark Expedition. 300+ species documented — a key part of the story of Lewis and Clark Expedition. 50+ Native nations met — a key part of the story of Lewis and Clark Expedition. Only 1 death — a key part of the story of Lewis and Clark Expedition. President Thomas Jefferson commissioned the expedition to explore the newly acquired Louisiana Territory. The Corps of Discovery traveled roughly 8,000 miles from St. Louis to the Pacific and back. Their maps and journals opened the American West to settlement and trade.","St Louis to Pacific and back — a key part of the story of Lewis and Clark Expedition. | Sacagawea saved the expedition — a key part of the story of Lewis and Clark Expedition. | 300+ species documented — a key part of the story of Lewis and Clark Expedition. | 50+ Native nations met — a key part of the story of Lewis and Clark Expedition. | Only 1 death — a key part of the story of Lewis and Clark Expedition. | President Thomas Jefferson commissioned the expedition to explore the newly acquired Louisiana Territory. | The Corps of Discovery traveled roughly 8,000 miles from St. Louis to the Pacific and back. | Their maps and journals opened the American West to settlement and trade.",https://upload.wikimedia.org/wikipedia/commons/6/6f/Lewis_and_Clark_Expedition_map.jpg,#LewisAndClark #AmericanHistory #Exploration #HistoryTok,8000 miles. No GPS. One legendary expedition. #LewisAndClark #AmericanHistory #Exploration #HistoryTok
8,Abolitionist Movement,Am I not a man and a brother?,"Create a 30-second history short about the abolitionist movement. Cover: Britain banned slave trade 1807 — a key part of the story of Abolitionist Movement. Frederick Douglass — legend — a key part of the story of Abolitionist Movement. Harriet Tubman — 70+ to freedom — a key part of the story of Abolitionist Movement. Emancipation Proclamation 1863 — a key part of the story of Abolitionist Movement. Freedom was fought for daily — a key part of the story of Abolitionist Movement. Frederick Douglass escaped slavery and became one of America's greatest orators and writers. Harriet Tubman's Underground Railroad helped more than 70 enslaved people reach freedom. The movement combined moral persuasion, legal action, and direct resistance to end slavery.","Britain banned slave trade 1807 — a key part of the story of Abolitionist Movement. | Frederick Douglass — legend — a key part of the story of Abolitionist Movement. | Harriet Tubman — 70+ to freedom — a key part of the story of Abolitionist Movement. | Emancipation Proclamation 1863 — a key part of the story of Abolitionist Movement. | Freedom was fought for daily — a key part of the story of Abolitionist Movement. | Frederick Douglass escaped slavery and became one of America's greatest orators and writers. | Harriet Tubman's Underground Railroad helped more than 70 enslaved people reach freedom. | The movement combined moral persuasion, legal action, and direct resistance to end slavery.",https://upload.wikimedia.org/wikipedia/commons/7/7f/Am_I_Not_A_Man_And_A_Brother.jpg,#Abolition #BlackHistory #FrederickDouglass #HistoryMatters,Freedom wasn't given. It was taken. The abolitionist fight. #Abolition #BlackHistory #FrederickDouglass #HistoryMatters
9,California Gold Rush,One discovery. 300000 people RAN west.,"Create a 30-second history short about the California Gold Rush. Cover: Sutter's Mill — Jan 1848 — a key part of the story of California Gold Rush. SF: 200 to 36000 people — a key part of the story of California Gold Rush. Most miners made NOTHING — a key part of the story of California Gold Rush. Merchants got rich — a key part of the story of California Gold Rush. Rivers destroyed — a key part of the story of California Gold Rush. James Marshall discovered gold at Sutter's Mill in January 1848, sparking a global rush. San Francisco grew from about 200 residents to 36,000 in just a few years. Most prospectors earned little while merchants and suppliers became the real winners.","Sutter's Mill — Jan 1848 — a key part of the story of California Gold Rush. | SF: 200 to 36000 people — a key part of the story of California Gold Rush. | Most miners made NOTHING — a key part of the story of California Gold Rush. | Merchants got rich — a key part of the story of California Gold Rush. | Rivers destroyed — a key part of the story of California Gold Rush. | James Marshall discovered gold at Sutter's Mill in January 1848, sparking a global rush. | San Francisco grew from about 200 residents to 36,000 in just a few years. | Most prospectors earned little while merchants and suppliers became the real winners.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Sutters_Mill.jpg,#GoldRush #CaliforniaHistory #WildWest #HistoryTok,One discovery. 300000 people. A nation reshaped. #GoldRush #CaliforniaHistory #WildWest #HistoryTok
10,Darwin and Evolution,One book destroyed how we see LIFE.,"Create a 30-second history short about Darwin and evolution. Cover: Origin of Species — 1859 — a key part of the story of Darwin and Evolution. Galapagos finches proved it — a key part of the story of Darwin and Evolution. 5 years on HMS Beagle — a key part of the story of Darwin and Evolution. Waited 20 years to publish — a key part of the story of Darwin and Evolution. Changed biology forever — a key part of the story of Darwin and Evolution. Darwin spent five years aboard HMS Beagle collecting specimens across South America and the Pacific. He waited over 20 years to publish, fearing backlash against his evolutionary theory. On the Origin of Species, published in 1859, became the foundation of modern biology.","Origin of Species — 1859 — a key part of the story of Darwin and Evolution. | Galapagos finches proved it — a key part of the story of Darwin and Evolution. | 5 years on HMS Beagle — a key part of the story of Darwin and Evolution. | Waited 20 years to publish — a key part of the story of Darwin and Evolution. | Changed biology forever — a key part of the story of Darwin and Evolution. | Darwin spent five years aboard HMS Beagle collecting specimens across South America and the Pacific. | He waited over 20 years to publish, fearing backlash against his evolutionary theory. | On the Origin of Species, published in 1859, became the foundation of modern biology.",https://upload.wikimedia.org/wikipedia/commons/2/2e/Charles_Darwin_photograph_1880.jpg,#CharlesDarwin #Evolution #ScienceHistory #DidYouKnow,One book. One theory. Life redefined. Darwin changed everything. #CharlesDarwin #Evolution #ScienceHistory #DidYouKnow
